input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,place_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,user_reviews_extended,emails
6afcd944-cd4c-4ab6-b851-bcd74bcd22a5,https://www.google.com/maps/place/Pepi+y+Emilio/data=!4m7!3m6!1s0xd42300dc5e73bdf:0x9e67f8df1b392fb7!8m2!3d40.4255329!4d-3.5651909!16s%2Fg%2F11xg6y8zl!19sChIJ3zvnxQ0wQg0Rty85G9_4Z54?authuser=0&hl=es&rclk=1,Pepi y Emilio,Peluquería,"C. de Luis Grasset, 3, y 5, 28821 Coslada, Madrid","{""jueves"":[""9:30–13:30"",""16:30–20:00""]}",{},,916 71 14 18,CCGM+6W Coslada,0,4.800000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",40.425533,-3.565191,11414365417711939511,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqqWeWg4vCwx0ZSHDdkehz11g0w7XGfj0Gxky1xjRVxIiTXqdriEDwXCp26BwwEraPs_-isPb3N_Wv7uUPi4UAjWz_bOmEx4nlKb6ZTck-890lkFBzX4CIFfwQSKX8XDIO7qOwk=w408-h306-k-no,Europe/Madrid,,0xd42300dc5e73bdf:0x9e67f8df1b392fb7,ChIJ3zvnxQ0wQg0Rty85G9_4Z54,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""116039119918554037839"",""name"":""Pepi y Emilio (propietario)"",""link"":""https://www.google.com/maps/contrib/116039119918554037839""}","{""borough"":"""",""street"":""C. de Luis Grasset, 3, y 5"",""city"":""Coslada"",""postal_code"":""28821"",""state"":""Madrid"",""country"":""ES""}","[{""id"":""accessibility"",""name"":""Accesibilidad"",""options"":[{""name"":""Acceso para sillas de ruedas"",""enabled"":true},{""name"":""Aparcamiento adaptado para sillas de ruedas"",""enabled"":false}]}]",[],null,
6afcd944-cd4c-4ab6-b851-bcd74bcd22a5,https://www.google.com/maps/place/Peluquer%C3%ADa+y+Belleza+Pepi+By+Fermy/data=!4m7!3m6!1s0xd731e291c0daa61:0x867574f5659d12b7!8m2!3d36.489585!4d-4.714407!16s%2Fg%2F1tdvljfm!19sChIJYaoNHCkecw0RtxKdZfV0dYY?authuser=0&hl=es&rclk=1,Peluquería y Belleza Pepi By Fermy,Centro de estética,"Centro Comercial El Zoco Local, 101 - 102 - 2 ° (Local), 29649 Mijas Costa, Málaga","{""jueves"":[""9:00–18:00""]}",{},,952 93 34 34,F7QP+R6 Calahonda,0,4.800000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",36.489585,-4.714407,9688778770678092471,,,,https://lh3.googleusercontent.com/p/AF1QipPnd5lzbpEaYdH5qW4WyHvNluLDENEYstiOLJ1c=w426-h240-k-no,Europe/Madrid,,0xd731e291c0daa61:0x867574f5659d12b7,ChIJYaoNHCkecw0RtxKdZfV0dYY,[],null,null,"{""link"":"""",""source"":""""}","{""id"":""109073456464841253003"",""name"":""Peluquería y Belleza Pepi By Fermy (propietario)"",""link"":""https://www.google.com/maps/contrib/109073456464841253003""}","{""borough"":"""",""street"":""Centro Comercial El Zoco Local, 101 - 102 - 2 ° (Local)"",""city"":""Mijas Costa"",""postal_code"":""29649"",""state"":""Málaga"",""country"":""ES""}",null,[],null,
6afcd944-cd4c-4ab6-b851-bcd74bcd22a5,https://www.google.com/maps/place/Pepi/data=!4m7!3m6!1s0xd422862589df2f3:0xef63a4a9069cebe4!8m2!3d40.4255673!4d-3.7046334!16s%2Fg%2F1vlzcp24!19sChIJ8_KdWGIoQg0R5OucBqmkY-8?authuser=0&hl=es&rclk=1,Pepi,Peluquería,"C. del Espíritu Santo, 34, Centro, 28004 Madrid",{},{},,915 31 19 95,C7GW+64 Madrid,0,5.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",40.425567,-3.704633,17249812043626507236,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwergeDBHt2CMHEyFBevDpKP5F7vUXuWL2uMcnIsu8hYpoc1a3cs_vyExsvq95uyzVCbfvQCMOw9GMr5FMyK-D95s14D3m-9hVKBipH0u8PyYAh3LEZwgmBMs4caygeGpoGDvZYPS=w408-h306-k-no,Europe/Madrid,,0xd422862589df2f3:0xef63a4a9069cebe4,ChIJ8_KdWGIoQg0R5OucBqmkY-8,[],null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Pepi (propietario)"",""link"":""""}","{""borough"":""Centro"",""street"":""C. del Espíritu Santo, 34"",""city"":""Madrid"",""postal_code"":""28004"",""state"":""Madrid"",""country"":""ES""}",null,[],null,
6afcd944-cd4c-4ab6-b851-bcd74bcd22a5,https://www.google.com/maps/place/Peluquer%C3%ADa+Pepi/data=!4m7!3m6!1s0xd4e4eedf7b610df:0xf994adb998f45388!8m2!3d43.2391759!4d-2.887462!16s%2Fg%2F1wh4h506!19sChIJ3xC29-1OTg0RiFP0mLmtlPk?authuser=0&hl=es&rclk=1,Peluquería Pepi,Peluquería,"Madrid Kalea, 3, 48970 Basauri, Biscay",{},{},,944 26 39 05,64Q7+M2 Basauri,0,5.000000,"{""1"":0,""2"":0,""3"":0,""4"":0,""5"":0}",43.239176,-2.887462,17984190224643937160,,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqTGbniczC3mfnaXNdw7HK-v7aI636thrXjbhTfaFIAz1QsRAXbxRgF8-uBv0UGNgCRHhXo5um8dPyprGCyUb0YCKwLAGMHwTgnXtcWFxc9cStiWx-_6ZFtQ1E-goCnFf5SPna-=w408-h406-k-no,Europe/Madrid,,0xd4e4eedf7b610df:0xf994adb998f45388,ChIJ3xC29-1OTg0RiFP0mLmtlPk,[],null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":""Peluquería Pepi (propietario)"",""link"":""""}","{""borough"":"""",""street"":""Madrid Kalea, 3"",""city"":""Basauri"",""postal_code"":""48970"",""state"":""Biscay"",""country"":""ES""}",null,[],null,
